cons_doc,cons_page_count,cons_size,file,size_diff_abs,status,text_similarity,unif_doc,unif_page_count,unif_size,visual_available,visual_avg_percent_diff,visual_max_percent_diff
first_page,2,102097,0511-N-extra.xlsx,71848,PASS,0.6846343099977633,First Page Summary,2,30249,True,8.55521744372798,10.999099881041284
deviation_statement,2,85661,0511-N-extra.xlsx,55899,PASS,0.21797463701525455,Deviation Statement,2,29762,True,5.602197834089691,8.379743987438726
note_sheet,2,86472,0511-N-extra.xlsx,65692,PASS,0.05416191562143672,BILL SCRUTINY SHEET,2,20780,True,4.941222948186537,9.064717760273053
certificate_ii,1,57299,0511-N-extra.xlsx,35761,PASS,0.9611872146118722,Certificate II,1,21538,True,5.102653877407897,5.102653877407897
certificate_iii,1,91040,0511-N-extra.xlsx,67357,PASS,0.4272237196765499,Certificate III,2,23683,True,7.11395637661803,7.11395637661803
extra_items,1,74183,0511-N-extra.xlsx,51363,PASS,0.42050929112181695,Extra Items Statement,1,22820,True,5.389672821643305,5.389672821643305
first_page,2,102097,0511Wextra.xlsx,71846,PASS,0.6847874720357942,First Page Summary,2,30251,True,8.555318794998469,10.999302583582262
deviation_statement,2,85661,0511Wextra.xlsx,55897,PASS,0.21797463701525455,Deviation Statement,2,29764,True,5.602197834089691,8.379743987438726
note_sheet,2,86472,0511Wextra.xlsx,65692,PASS,0.05416191562143672,BILL SCRUTINY SHEET,2,20780,True,4.941222948186537,9.064717760273053
certificate_ii,1,57299,0511Wextra.xlsx,35760,PASS,0.9611872146118722,Certificate II,1,21539,True,5.102653877407897,5.102653877407897
certificate_iii,1,91040,0511Wextra.xlsx,67358,PASS,0.4272237196765499,Certificate III,2,23682,True,7.11395637661803,7.11395637661803
extra_items,1,74183,0511Wextra.xlsx,51361,PASS,0.42050929112181695,Extra Items Statement,1,22822,True,5.389672821643305,5.389672821643305
first_page,6,132942,3rdFinalNoExtra.xlsx,88422,PASS,0.7128691528346627,First Page Summary,5,44520,True,9.11915304146561,12.167553621179918
deviation_statement,6,114635,3rdFinalNoExtra.xlsx,69934,PASS,0.4886753603294441,Deviation Statement,4,44701,True,6.712632833742628,8.106209250057445
note_sheet,2,86177,3rdFinalNoExtra.xlsx,65585,PASS,0.026285714285714287,BILL SCRUTINY SHEET,2,20592,True,4.937411990820193,9.039346283557368
certificate_ii,1,57299,3rdFinalNoExtra.xlsx,35760,PASS,0.9611872146118722,Certificate II,1,21539,True,5.102653877407897,5.102653877407897
certificate_iii,1,92375,3rdFinalNoExtra.xlsx,68460,PASS,0.38783518639633746,Certificate III,2,23915,True,7.274116067325368,7.274116067325368
extra_items,,,3rdFinalNoExtra.xlsx,,FAIL (missing one side),,Extra Items Statement,,,,,
